company,city,state,website,apollo_biz_type,verified_biz_type,verification_status,evidence,recommendation,notes
"DanCo Systems, Inc.",Shawnee,Kansas,http://www.dancosystems.com,food/bev general,food/bev general,OPEN,Industry: information technology & services — needs verification,MANUAL CHECK,"KC metro; $21,095,000 rev. Needs manual review."
Kain McArthur,Olathe,Kansas,http://www.kainmcarthur.com,food/bev general,Non-food (foodservice equipment rep),MISMATCH,Manufacturer's rep for foodservice equipment (B2B) — NOT a restaurant,SKIP,Manufacturer's rep for foodservice equipment (B2B) — NOT a restaurant
Morgans Restaurant,Odessa,Missouri,http://www.morgansrest.net,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"MO/KS territory; $5,733,000 rev. Confirmed food business — proceed to Stage 3."
ERINS PUB,Independence,Missouri,http://www.erinpubnorwood.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
The Fontaine Hotel,Kansas City,Missouri,http://www.thefontainehotel.com,bar/brewery,bar/brewery,OPEN,Hotel with restaurant — verify restaurant portion separately,MANUAL CHECK,KC metro. Needs Edward's review before proceeding.
One Egg Group,Manhattan,Kansas,http://www.one-egg.com,catering/food truck,catering/food truck,OPEN,Food business in MO/KS territory: hospitality,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
Burch Food Services,Sikeston,Missouri,http://www.burchfood.com,full-service restaurant,Non-food (foodservice/vending B2B),MISMATCH,Premier foodservice and vending provider (B2B contract) — NOT a restaurant,SKIP,Premier foodservice and vending provider (B2B contract) — NOT a restaurant
Prenger Foods,Bucklin,Missouri,http://www.prengerfoods.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: marketing & advertising,REVEAL,"MO/KS territory; $12,594,000 rev. Confirmed food business — proceed to Stage 3."
Grandma's Catering,Kansas City,Missouri,http://www.grandmascatering.com,food/bev general,food/bev general,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"KC metro; $7,324,000 rev. Confirmed food business — proceed to Stage 3."
Feature Impact,Mission,Kansas,http://www.familyfeatures.com,food/bev general,Non-food business,MISMATCH,Content marketing/PR company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Custom Control Mfr.,Overland Park,Kansas,http://www.customcontrolmfr.com,food manufacturing,Non-food business,MISMATCH,Industrial automation (machinery),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Maceli's Catering & Events,Lawrence,Kansas,http://www.macelis.com,catering/food truck,catering/food truck,OPEN,Food business in MO/KS territory: hospitality,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
Powercat Sports Grill,Manhattan,Kansas,http://www.powercatsportsgrill.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
Kansas City Barbeque Society,Kansas City,Missouri,http://www.kcbs.us,full-service restaurant,full-service restaurant,OPEN,Nonprofit BBQ organization — not a restaurant,MANUAL CHECK,"KC metro; $5,564,000 rev. Needs Edward's review before proceeding."
Trattoria Marcella,St. Louis,Missouri,http://www.trattoriamarcella.com,full-service restaurant,full-service restaurant,OPEN,Food business (food & beverages): a familyowned italian restaurant in st. louis that offers the best italian food that st. louis has t,REVEAL,"MO/KS territory; $21,191,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
"LOUIE'S WINE DIVE KC, LLC",Kansas City,Missouri,http://www.louieswinedive.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $3,700,000 rev. Confirmed food business — proceed to Stage 3."
"MC Power Companies, Inc.",Lee's Summit,Missouri,http://www.mcpower.com,food/bev general,Non-food (renewables & environment),MISMATCH,Non-food industry: renewables & environment,SKIP,Not a food/restaurant business — orig industry is renewables & environment
"Olive Tree, LLC",Overland Park,Kansas,http://www.olivetreekc.com,bar/brewery,Retail (specialty olive oil store),MISMATCH,Specialty olive oil and vinegar retail store — NOT a restaurant,SKIP,Specialty olive oil and vinegar retail store — NOT a restaurant
Missouri Organic Recycling,Kansas City,Missouri,http://www.missouriorganic.com,food/bev general,Non-food business,MISMATCH,Composting/mulch company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"Show Me Ethanol, LLC",Carrollton,Missouri,http://www.smealcohol.com,bar/brewery,Non-food business,MISMATCH,Biotech/ethanol company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Brewlab,Overland Park,Kansas,http://www.brewlabkc.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $6,589,000 rev. Confirmed food business — proceed to Stage 3."
T-Shotz,Kansas City,Missouri,http://www.tshotz.com,bar/brewery,bar/brewery,OPEN,Golf entertainment + full bar in KC — verify if restaurant-primary,MANUAL CHECK,KC metro. Needs Edward's review before proceeding.
"Cyrus Hotel, Tribute Portfolio",Topeka,Kansas,http://www.cyrushotel.com,full-service restaurant,full-service restaurant,OPEN,Hotel in Topeka — verify restaurant portion,MANUAL CHECK,MO/KS territory. Needs Edward's review before proceeding.
BRKTHROUGH,Overland Park,Kansas,http://www.brkthrough.com,bar/brewery,bar/brewery,OPEN,Immersive entertainment (not a restaurant),MANUAL CHECK,KC metro. Needs Edward's review before proceeding.
The Merc Co+op,Lawrence,Kansas,http://www.themerc.coop,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: retail,REVEAL,"MO/KS territory; $6,215,000 rev. Confirmed food business — proceed to Stage 3."
Silo Modern Farmhouse,Lenexa,Kansas,http://www.silocanyonfarms.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: ,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
"NCES, Inc",Olathe,Kansas,http://www.ncescatalog.com,food/bev general,Non-food business,MISMATCH,Nutrition education (not food service),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
The Majestic Restaurant,Kansas City,Missouri,http://www.majestickc.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"KC metro; $6,650,000 rev. Confirmed food business — proceed to Stage 3."
Falcon Lakes Golf Club,Basehor,Kansas,http://www.falconlakesgolf.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: recreational facilities & services,REVEAL,"KC metro; $2,297,000 rev. Confirmed food business — proceed to Stage 3."
Golden Boy Pies Inc,Overland Park,Kansas,http://www.goldenboypies.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: food production,REVEAL,KC metro; 2 locations. Confirmed food business — proceed to Stage 3.
TW Automation LC,Lenexa,Kansas,http://www.tw-automation.com,food/bev general,Non-food business,MISMATCH,Robotics automation provider,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Pack Leader USA,Grandview,Missouri,http://www.packleaderusa.com,food/bev general,Non-food business,MISMATCH,Labeling equipment manufacturer,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Kissner USA Holdings,Overland Park,Kansas,http://www.kissner.com,food/bev general,Non-food business,MISMATCH,Salt manufacturer ($123M revenue - Fortune 500),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Express Scale Parts,Lenexa,Kansas,http://www.espmfg.com,food/bev general,Non-food business,MISMATCH,Weighing/bagging machinery,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Cross-Lines Community Outreach,Kansas City,Kansas,http://www.cross-lines.org,food/bev general,Non-food business,MISMATCH,Social services nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Lawrence Beer Company,Lawrence,Kansas,http://www.lawrencebeerco.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
Blade & Timber Axe Throwing,Kansas City,Missouri,http://www.bladeandtimber.com,bar/brewery,bar/brewery,OPEN,Axe throwing + full bar/food — verify if food revenue is primary,MANUAL CHECK,KC metro. Needs Edward's review before proceeding.
Nautical Manufacturing and Fulfillment,Lenexa,Kansas,http://www.nautical-direct.com,food/bev general,Non-food business,MISMATCH,3PL warehousing company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Topsy's Popcorn,Kansas City,Missouri,http://www.topsyspopcorn.com,food/bev general,Retail (popcorn shop),MISMATCH,"Retail popcorn shop — food retail product, not a restaurant insurance target",SKIP,"Retail popcorn shop — food retail product, not a restaurant insurance target"
Submarina California Subs,Topeka,Kansas,http://www.submarina.com,full-service restaurant,full-service restaurant,OPEN,Food business (restaurants): See Apollo data,REVEAL,"MO/KS territory; $5,152,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Chateau Avalon Hotel Spa and Bar,Kansas City,Kansas,http://www.chateauavalonhotel.com,bar/brewery,bar/brewery,OPEN,"Food/hospitality business: chateau avalon is a boutique luxury resort located in kansas city's legends district, set across twe",REVEAL,"KC metro; $6,736,000 rev; 2 locations. Food/hospitality business in MO/KS — proceed to Stage 3."
Midwest Cabinet Company,Ottawa,Kansas,http://www.midwestcabinet.com,full-service restaurant,Non-food (construction),MISMATCH,Non-food industry: construction,SKIP,Not a food/restaurant business — orig industry is construction
Pizza 51,Kansas City,Missouri,http://www.pizza51.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): giant pizza slices, fresh ingredients, sandwiches, wraps, salads and more. delivery available. adjac",REVEAL,"KC metro; $8,426,000 rev; 2 locations. Confirmed food/restaurant business — proceed to Stage 3."
Paradise Locker Meats,Trimble,Missouri,http://www.paradisemeats.com,food/bev general,"Non-food (meat processor B2B, $265M)",MISMATCH,Premium meat processing plant with $265M revenue — too large for Anvo; B2B operation,SKIP,Premium meat processing plant with $265M revenue — too large for Anvo; B2B operation
So Long Saloon,Manhattan,Kansas,http://www.solongsaloon.com,bar/brewery,bar/brewery,OPEN,"Food business (restaurants): so long saloon is a restaurants company located in 1130 moro st, manhattan, kansas, united states.",REVEAL,MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
Wilson Transportation Inc,Overland Park,Kansas,http://www.wilsontransportation.com,food/bev general,Non-food business,MISMATCH,Transportation broker,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Scan American Corporation,Kansas City,Missouri,http://www.scanamcorp.com,food manufacturing,Non-food business,MISMATCH,Industrial machinery,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Austins Bar & Grill Olathe & Gardner KS,Olathe,Kansas,http://www.austinsbarandgrill.com,bar/brewery,bar/brewery,OPEN,"Food business (restaurants): austins is a sports bar with steakhouse quality food, served in a clean, modern environment. featuri",REVEAL,KC metro; 2 locations. Confirmed food/restaurant business — proceed to Stage 3.
"JOE'S KANSAS CITY BAR-B-QUE, INC.",Kansas City,Kansas,http://www.joeskc.com,bar/brewery,bar/brewery,OPEN,"Food business (restaurants): the original joe's kansas city bbq, born out of a gas station in kansas city and world-famous for ou",REVEAL,KC metro; 4 locations. Confirmed food/restaurant business — proceed to Stage 3.
PowerPlay Entertainment Center,Kansas City,Missouri,http://www.powerplaykc.com,bar/brewery,bar/brewery,OPEN,Industry is entertainment — unclear if food-primary from description,MANUAL CHECK,"KC metro; $1,075,000 rev. Ambiguous — Edward should verify if this is a food/restaurant business."
A Little BBQ Joint,Independence,Missouri,http://www.alittlebarbqjoint.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): tucked away in the suburbs of kansas city, you will find one of the best kept bbq secrets that the c",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Brass Rail Sports Bar & Grill,Kansas City,Missouri,http://www.brassrailkc.com,bar/brewery,bar/brewery,OPEN,"Food business (restaurants): kansas city's premier restaurant, sports bar & pool hall. casual dining menu, numerous hdtv's for al",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Spectragraphics Inc.,Lenexa,Kansas,http://www.spectragraphics.com,food/bev general,Non-food business,MISMATCH,Printing/labels,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Great Day Moving,Kansas City,Missouri,http://www.greatdaymoving.com,food/bev general,Non-food business,MISMATCH,Moving company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
CUI Solutions,North Kansas City,Missouri,http://www.cuisolutions.com,food/bev general,Non-food business,MISMATCH,Chemical manufacturer,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Hangar Cinema,Maryville,Missouri,http://www.hangar1.com,full-service restaurant,Non-food business,MISMATCH,Movie theater (food-secondary),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Westport Flea Market,Kansas City,Missouri,http://www.westportfleamarket.com,bar/brewery,bar/brewery,OPEN,"Food business (food & beverages): westport flea market is a food and beverages company located in 817 westport rd, kansas city, missou",REVEAL,"KC metro; $1,231,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Winsteads,Overland Park,Kansas,http://www.winsteadssteakburger.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): winsteads is a company based out of 4971 w 135th st, overland park, kansas, united states.",REVEAL,"KC metro; $12,743,000 rev; 6 locations. Confirmed food/restaurant business — proceed to Stage 3."
Salvajor Company,Kansas City,Missouri,http://www.salvajor.com,food/bev general,Non-food business,MISMATCH,Food waste disposer manufacturer,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
KC Shepherd's Center,Kansas City,Missouri,http://www.kcshepherdscenter.org,food/bev general,Non-food business,MISMATCH,Senior services nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Bionic Burger,Wichita,Kansas,http://www.bionic-burger.com,full-service restaurant,full-service restaurant,OPEN,Food business (restaurants): quality food our family has prepared since 1949 and serving wichita since 1977. since steve and pam ,REVEAL,MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
Bill Barr & Co.,Overland Park,Kansas,http://www.billbarr.com,food/bev general,Non-food business,MISMATCH,Animal feed/pet food ingredients (not restaurant),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Foxx Equipment Company,Kansas City,Kansas,http://www.foxxequipment.com,bar/brewery,Non-food business,MISMATCH,Beverage dispensing equipment (not a restaurant),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Fulfillment Plus,North Kansas City,Missouri,http://www.fulfillment-kc.com,food/bev general,Non-food business,MISMATCH,Marketing/fulfillment company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Business by Promotion LLC,Lee's Summit,Missouri,http://www.businessbp.com,food/bev general,Non-food business,MISMATCH,Marketing company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Highlander Bar & Grill,Grandview,Missouri,http://www.highlanderbarandgrill.com,bar/brewery,bar/brewery,OPEN,"Food business (restaurants): highlander bar &amp; grill is a restaurants company located in 6305 main st, grandview, missouri, un",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Blind Box BBQ,Shawnee,Kansas,,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): a modern take on classic, kansas city style barbecue. bourbon, bbq, and brunch.",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Coaches Bar & Grill,Overland Park,Kansas,http://www.coach-s.com,bar/brewery,Wrong location,WRONG LOCATION,Apollo desc shows Hawthorne CA address,SKIP,Apollo data mismatch — company/website is not located in MO/KS
Ole Tyme Produce Inc,Saint Charles,Missouri,http://www.oletyme.com,food distributor/grocer,food distributor/grocer,OPEN,"Food/hospitality business (wholesale): ole tyme produce inc is a privately-held, woman-owned fresh food distributor located in saint charle",REVEAL,"MO/KS territory; $3,676,000 rev. Food business confirmed — proceed to Stage 3."
4 Hands Brewing Company,St. Louis,Missouri,http://www.4handsbrewery.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"MO/KS territory; $10,000,000 rev. Confirmed food business — proceed to Stage 3."
The Olivia Collection,Lawrence,Kansas,http://www.theoread.com,bar/brewery,Non-food (hotel management co.),MISMATCH,"Hotel management company operating Oread/Eldridge/Eldridge Extended — management entity, not insured restaurant",SKIP,"Hotel management company operating Oread/Eldridge/Eldridge Extended — management entity, not insured restaurant"
Replay Lounge,Lawrence,Kansas,http://www.replaylounge.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"MO/KS territory; $11,161,000 rev. Confirmed food business — proceed to Stage 3."
Cellar Rat Wine Merchants,Kansas City,Missouri,http://www.cellarratwine.com,food/bev general,Retail (wine shop),MISMATCH,"Wine retail shop + wine classes + private parties — retail store, not food service operation",SKIP,"Wine retail shop + wine classes + private parties — retail store, not food service operation"
Kansas City Allergy & Asthma,Overland Park,Kansas,http://www.kcallergy.com,food/bev general,Non-food business,MISMATCH,Medical practice,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Metro Lutheran Ministry,Kansas City,Missouri,http://www.mlmkc.org,food/bev general,Non-food business,MISMATCH,Religious nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"Standard Sheet Metal, Inc.",Kansas City,Missouri,http://www.standardsheetmetal.com,food/bev general,Non-food business,MISMATCH,Sheet metal fabricator,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"The Savage Group, LLC - McDonald's",Lenexa,Kansas,http://www.tsg-mcd.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): founded in 2001 by owner-operators ken and cassandra savage, the savage group, llc currently maintai",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
CTS Enterprises,Kansas City,Missouri,http://www.ctsenterprises.org,full-service restaurant,Non-food business,MISMATCH,Executive staffing (not food),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"SUMMIT RESTAURANT GROUP, LLC",Blue Springs,Missouri,http://www.srgonline.us,full-service restaurant,full-service restaurant,OPEN,Verify it's a real restaurant group (no description),MANUAL CHECK,KC metro. Needs Edward's review before proceeding.
"KMO Burger, A Whataburger Franchisee",Kansas City,Kansas,http://www.kmoburger.com,full-service restaurant,full-service restaurant,OPEN,New Whataburger expansion — verify locations in MO/KS,MANUAL CHECK,KC metro. Needs Edward's review before proceeding.
St. Joseph (Mo.) Chamber of Commerce,Saint Joseph,Missouri,http://www.choosesaintjoseph.com,food manufacturing,Non-food business,MISMATCH,Chamber of commerce,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Churchill Container,Lenexa,Kansas,http://www.churchillcontainer.com,food/bev general,Non-food business,MISMATCH,Packaging manufacturer,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Free State Brewing Co,Lawrence,Kansas,http://www.freestatebrewing.com,bar/brewery,bar/brewery,OPEN,"Food business (food & beverages): free state brewery has been serving up great handcrafted beers in their local brewery in lawrence, k",REVEAL,"MO/KS territory; $17,545,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Martys Bbq,Kansas City,Missouri,http://www.martysbbq.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): martys bbq is a restaurants company located in p.o. box 25371, kansas city, missouri, united states.",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Riega Foods LLC,Kansas City,Missouri,http://www.riegafoods.com,food/bev general,Food manufacturer (packaged goods),OPEN,Packaged food manufacturer — verify if they have a physical food service location in KC,MANUAL CHECK,Packaged food manufacturer — verify if they have a physical food service location in KC
Salsa Grill,Shawnee,Kansas,http://www.thesalsagrill.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): salsa grill is a restaurants company located in 6508 martway st, shawnee mission, kansas, united sta",REVEAL,"KC metro; $1,962,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Farmers Bank of Kansas City,Overland Park,Kansas,http://www.farmersbankkc.com,food/bev general,Non-food business,MISMATCH,Bank,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Heartland International Ministries,Lenexa,Kansas,http://www.heartforhim.org,food/bev general,Non-food business,MISMATCH,Religious nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
VS Services LLC,Kansas City,Missouri,http://www.vsservices.com,food/bev general,Non-food business,MISMATCH,Transportation/construction,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
BioStar Renewables,Overland Park,Kansas,http://www.biostarrenewables.com,food/bev general,Non-food business,MISMATCH,Clean energy company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Eldridge Hotel,Lawrence,Kansas,http://www.eldridgehotel.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: hospitality,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
Saint Joe Distributing,Saint Joseph,Missouri,http://www.saintjoedist.com,food/bev general,Non-food (convenience store distributor B2B),MISMATCH,Full-service convenience store products distributor (B2B) — NOT a restaurant,SKIP,Full-service convenience store products distributor (B2B) — NOT a restaurant
W. VinZant Restaurants,Kansas City,Missouri,http://www.wvinzantrestaurants.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
"715, L.L.C.",Lawrence,Kansas,http://www.715mass.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"MO/KS territory; $12,472,000 rev. Confirmed food business — proceed to Stage 3."
KBP Inspired,Leawood,Kansas,,full-service restaurant,full-service restaurant,OPEN,"Arby's franchise (part of KBP Brands with 1,100+ locations) — too large?",MANUAL CHECK,KC metro. Needs Edward's review before proceeding.
CocoBolos,Overland Park,Kansas,http://www.cocoboloskc.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $2,694,000 rev. Confirmed food business — proceed to Stage 3."
Lidia’s,Kansas City,Missouri,http://www.lidias-kc.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): occupying a former railroad house just north of kansas city's historic union station, lidia's evokes",REVEAL,"KC metro; $546,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
BARcelona Tapas,Clayton,Missouri,http://www.barcelonatapas.com,bar/brewery,bar/brewery,OPEN,Clayton MO (St. Louis area) — confirm in Anvo's territory,MANUAL CHECK,MO/KS territory. Needs Edward's review before proceeding.
Konrad's Kitchen and Tap House,Lee's Summit,Missouri,http://www.konradskc.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Siggins,North Kansas City,Missouri,http://www.siggins.com,food/bev general,Non-food business,MISMATCH,Warehousing/distribution,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Kansas Sampler,Lenexa,Kansas,http://www.kansassampler.org,food/bev general,Non-food business,MISMATCH,Retail sports apparel,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
D. Thomas & Associates,Kansas City,Missouri,http://www.dthos.com,food/bev general,Non-food business,MISMATCH,Packaging manufacturer rep,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Tequila Harrys Inc,Lee's Summit,Missouri,http://www.tequilaharrys.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $250,000 rev. Confirmed food business — proceed to Stage 3."
ARY Inc.,Overland Park,Kansas,http://www.vacmasterfresh.com,food manufacturing,Non-food business,MISMATCH,Food packaging equipment (B2B),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Sabor Brasil,Overland Park,Kansas,http://www.tasteofbrazilkc.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: construction,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
El Charo,Pittsburg,Kansas,http://www.elcharrocafe.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"MO/KS territory; $3,525,000 rev; 2 locations. Confirmed food business — proceed to Stage 3."
Tom's Town Distilling Co.,Kansas City,Missouri,http://www.toms-town.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food production,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Kansas City Community Gardens (KCCG),Kansas City,Missouri,http://www.kccg.org,food/bev general,Non-food business,MISMATCH,Community garden nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
The Farmer's House,Weston,Missouri,http://www.thefarmershouse.org,food/bev general,Non-food business,MISMATCH,Nonprofit for disabled individuals,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Taco Lucha,Manhattan,Kansas,http://www.tacoluchamanhattan.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
Burnt End BBQ,Overland Park,Kansas,http://www.burntendbbqkc.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
"Westin Trading, Inc.",St. Louis,Missouri,http://www.westintrading.com,food distributor/grocer,Non-food business,MISMATCH,Wholesale grocery distributor (B2B),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"F & A Food Sales Co., Inc.",Concordia,Kansas,http://www.fafoodsales.com,food distributor/grocer,Non-food business,MISMATCH,Foodservice distributor (B2B),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Ivanhoe Neighborhood Council,Kansas City,Missouri,http://www.incthrives.org,food/bev general,Non-food business,MISMATCH,Government nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Taco Republic,Kansas City,Kansas,http://www.eattacorepublic.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"KC metro; $3,160,000 rev. Confirmed food business — proceed to Stage 3."
Alden,Kansas City,Missouri,http://www.alden.tech,food/bev general,Non-food business,MISMATCH,Diagnostic testing tech company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"The Raphael Hotel, Autograph Collection",Kansas City,Missouri,http://www.raphaelkc.com,full-service restaurant,full-service restaurant,OPEN,"Food/hospitality business: the raphael hotel, autograph collection is located at 325 ward parkway in kansas city, mo.  the nati",REVEAL,"KC metro; $4,703,000 rev. Food/hospitality business in MO/KS — proceed to Stage 3."
Vertical Cannabis,Saint Joseph,Missouri,http://www.vertical-cannabis.com,food/bev general,Non-food business,MISMATCH,Cannabis dispensary (not food),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
The Rub Bar-B-Que,Olathe,Kansas,http://www.therubbarbque.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"KC metro; $3,600,000 rev. Confirmed food business — proceed to Stage 3."
SWEET TEE'S COFFEE SHOP,Olathe,Kansas,http://www.sweetteescoffeeshop.com,catering/food truck,catering/food truck,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
"SES, Inc.",Lenexa,Kansas,http://www.ses-corp.com,food/bev general,Non-food business,MISMATCH,Environmental services,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Midwest Metalcraft,Windsor,Missouri,http://www.4mmc.com,food manufacturing,Food processing equipment manufacturer,OPEN,"Manufactures food processing equipment (hoppers, dumpers) — NOT a restaurant; B2B",MANUAL CHECK,"Manufactures food processing equipment (hoppers, dumpers) — NOT a restaurant; B2B"
CGR USA - ISC,North Kansas City,Missouri,http://www.isckc.com,food manufacturing,Non-food business,MISMATCH,Industrial machinery,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"Grandma Hoerner's Foods, Inc",Alma,Kansas,http://www.grandmahoerners.com,food/bev general,Specialty food manufacturer,OPEN,Specialty canned goods/food manufacturer — verify if retail food shop on site,MANUAL CHECK,Specialty canned goods/food manufacturer — verify if retail food shop on site
VersaFlex,Kansas City,Kansas,http://www.versaflex.com,food/bev general,Non-food business,MISMATCH,Protective coatings manufacturer,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
